2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2.5
3, 2.02586, 1.79095, 1.74084, 1.73693, 1.74458, 1.75511, 1.76636, 1.7778, 1.78928, 1.80077, 1.81226, 1.82375, 1.83525, 1.84674, 1.85824, 1.86973, 1.88123, 1.89272, 1.90421, 1.91571, 1.9272, 1.9387, 1.95019, 1.96169, 1.97318, 1.98467, 1.99617, 2.37835, 4
3, 2.29095, 2.06358, 2.00283, 1.99529, 2.00393, 2.01735, 2.03213, 2.04731, 2.0626, 2.07791, 2.09323, 2.10856, 2.12388, 2.13921, 2.15453, 2.16986, 2.18519, 2.20051, 2.21584, 2.23116, 2.24649, 2.26181, 2.27714, 2.29246, 2.30779, 2.32312, 2.33844, 2.81282, 4
3, 2.36584, 2.15908, 2.10082, 2.09299, 2.10182, 2.116, 2.13186, 2.14824, 2.16478, 2.18136, 2.19796, 2.21456, 2.23116, 2.24777, 2.26437, 2.28097, 2.29757, 2.31418, 2.33078, 2.34738, 2.36398, 2.38059, 2.39719, 2.41379, 2.4304, 2.447, 2.4636, 2.95704, 4
3, 2.39318, 2.19841, 2.14377, 2.13678, 2.14586, 2.16029, 2.17649, 2.19325, 2.2102, 2.2272, 2.24422, 2.26125, 2.27827, 2.2953, 2.31233, 2.32936, 2.34639, 2.36342, 2.38045, 2.39747, 2.4145, 2.43153, 2.44856, 2.46559, 2.48262, 2.49965, 2.51667, 3.01067, 4
3, 2.40864, 2.22073, 2.16871, 2.16258, 2.17194, 2.18651, 2.20282, 2.21971, 2.23679, 2.25393, 2.27109, 2.28826, 2.30543, 2.3226, 2.33977, 2.35694, 2.37411, 2.39128, 2.40845, 2.42562, 2.44279, 2.45996, 2.47713, 2.4943, 2.51147, 2.52864, 2.54581, 3.03567, 4
3, 2.42113, 2.23805, 2.1879, 2.18245, 2.19204, 2.20671, 2.22307, 2.24, 2.25713, 2.27432, 2.29152, 2.30874, 2.32595, 2.34317, 2.36039, 2.37761, 2.39483, 2.41204, 2.42926, 2.44648, 2.4637, 2.48091, 2.49813, 2.51535, 2.53257, 2.54978, 2.567, 3.05153, 4
3, 2.43287, 2.25394, 2.20529, 2.20038, 2.21018, 2.22491, 2.24131, 2.25826, 2.2754, 2.2926, 2.30982, 2.32705, 2.34429, 2.36152, 2.37875, 2.39599, 2.41322, 2.43045, 2.44769, 2.46492, 2.48215, 2.49939, 2.51662, 2.53385, 2.55109, 2.56832, 2.58556, 3.06444, 4
3, 2.44442, 2.26942, 2.22212, 2.2177, 2.22766, 2.24245, 2.25887, 2.27583, 2.29298, 2.31019, 2.32742, 2.34465, 2.36189, 2.37913, 2.39637, 2.41361, 2.43084, 2.44808, 2.46532, 2.48256, 2.4998, 2.51704, 2.53428, 2.55152, 2.56875, 2.58599, 2.60323, 3.0764, 4
3, 2.45593, 2.28479, 2.2388, 2.23481, 2.24493, 2.25978, 2.27621, 2.29318, 2.31033, 2.32754, 2.34477, 2.36201, 2.37925, 2.39649, 2.41373, 2.43097, 2.44821, 2.46545, 2.48269, 2.49993, 2.51717, 2.53442, 2.55166, 2.5689, 2.58614, 2.60338, 2.62062, 3.08805, 4
3, 2.46743, 2.30012, 2.25542, 2.25187, 2.26213, 2.27703, 2.29348, 2.31046, 2.32761, 2.34482, 2.36205, 2.37929, 2.39653, 2.41377, 2.43101, 2.44826, 2.4655, 2.48274, 2.49998, 2.51722, 2.53446, 2.5517, 2.56894, 2.58618, 2.60343, 2.62067, 2.63791, 3.09959, 4
3, 2.47893, 2.31545, 2.27203, 2.26891, 2.27931, 2.29426, 2.31073, 2.32771, 2.34487, 2.36208, 2.37931, 2.39655, 2.41379, 2.43103, 2.44827, 2.46551, 2.48275, 2.49999, 2.51723, 2.53448, 2.55172, 2.56896, 2.5862, 2.60344, 2.62068, 2.63792, 2.65516, 3.1111, 4
